,Sf Contact ID,Sf Opportunity ID,Sf Course C ID,Sf Course C Name,Sf Course C Course Start Date C Date,Sf Course C Course End Date C Date,Sf Course C Final Grade C,Sf Opportunity Application Type C,Sf Opportunity Program Category,Sf Opportunity Program C
197,0033600000NoSsZAAV,0063600000AAYjyAAH,,,,,,Colorado State University-Global,University,B.S. in Applied Social Sciences
198,0033600000NnucLAAR,0063600000AAZ1pAAH,,,,,,Guild Education,Lead Gen - Secondary,High School Equivalency Program (GED Prep)
199,0033600000NoUEZAA3,0063600000AAZ5mAAH,,,,,,Colorado State University-Global,University,B.S. in Accounting
200,0033600000No01JAAR,0063600000AAZX3AAP,,,,,,Colorado State University-Global,University,B.S. in Organizational Leadership
201,0033600000No7AKAAZ,0063600000AAZmBAAX,,,,,,Colorado State University-Global,University,B.S. in Business Management
202,0033600000NoYI4AAN,0063600000AAZmfAAH,,,,,,Guild Education,Lead Gen - Post Secondary,16-week Management Bootcamp
203,0033600000NnxHwAAJ,0063600000AAa53AAD,,,,,,Colorado State University-Global,University,B.S. in Business Management
204,0033600000NoYnQAAV,0063600000AAaFXAA1,,,,,,Colorado State University-Global,University,B.S. in Business Management
205,0033600000No6CHAAZ,0063600000AAaoZAAT,,,,,,Colorado State University-Global,University,B.S. in Marketing
206,0033600000NoDQhAAN,0063600000AAapyAAD,,,,,,Colorado State University-Global,University,B.S. in Accounting
207,0033600000KfWWTAA3,0063600000AAaqSAAT,,,,,,Saylor,StraighterLine/Saylor,Principles of Marketing
208,0033600000NojXLAAZ,0063600000AAi6TAAT,,,,,,Colorado State University-Global,University,B.S. in Business Management
209,0033600000NoaAUAAZ,0063600000AAi6xAAD,,,,,,Colorado State University-Global,University,B.S. in Business Management
210,0033600000NoZCkAAN,0063600000AAiGdAAL,,,,,,Colorado State University-Global,University,B.S. in Organizational Leadership
211,0033600000NoofQAAR,0063600000AAizjAAD,,,,,,Guild Education,Credential,Management Training Program - 16 Week
212,0033600000NoojwAAB,0063600000AAj0IAAT,,,,,,Colorado State University-Global,University,B.S. in Organizational Leadership
