Sf Contact ID,Sf Opportunity ID,Sf Course C ID
0033600000KfPkwAAF,0063600000B96CIAAZ,a1C36000003AYQiEAO
0033600000KfPkwAAF,0063600000B96CIAAZ,a1C36000001Q1urEAC
0033600000Ol07gAAB,0063600000B96ggAAB,
0033600000OkyXVAAZ,0063600000B96ncAAB,
0033600000OkIaRAAV,0063600000B96qgAAB,
0033600000OlQSIAA3,0063600000B96vYAAR,
0033600000OkFaXAAV,0063600000B96zBAAR,
0033600000OlVi4AAF,0063600000B991NAAR,
0033600000OlX5AAAV,0063600000B9CrkAAF,
0033600000OlORpAAN,0063600000B9DXgAAN,
0033600000Okyb8AAB,0063600000B9DecAAF,
0033600000OlVi9AAF,0063600000B9DszAAF,
0033600000OlaWgAAJ,0063600000B9DveAAF,
0033600000OlbKsAAJ,0063600000B9DxqAAF,
0033600000OlbSHAAZ,0063600000B9E01AAF,
0033600000NpD3YAAV,0063600000B9E9XAAV,
0033600000NoEs6AAF,0063600000B9MdTAAV,
0033600000Olx5xAAB,0063600000B9N3gAAF,
0033600000OlaIgAAJ,0063600000B9NTPAA3,
0033600000AS4oHAAT,0063600000B9ODtAAN,a1C36000001zLotEAE
0033600000OmtJeAAJ,0063600000B9PLVAA3,
0033600000No01JAAR,0063600000B9PLaAAN,
0033600000OmuFtAAJ,0063600000B9PM9AAN,
0033600000No01JAAR,0063600000B9PMJAA3,a1C36000001zLp4EAE
0033600000Omw4RAAR,0063600000B9PfFAAV,
0033600000NoEs6AAF,0063600000B9PkWAAV,a1C36000001zLoXEAU
0033600000OlORpAAN,0063600000B9Q0jAAF,
0033600000OlORpAAN,0063600000B9Q2kAAF,
0033600000OnHOKAA3,0063600000B9X9TAAV,
0033600000OnHOKAA3,0063600000B9X9nAAF,
0033600000OnMz1AAF,0063600000B9XozAAF,
0033600000OnMz1AAF,0063600000B9XrAAAV,
0033600000OnMz1AAF,0063600000B9YVVAA3,a1C36000001zLpqEAE
0033600000MWbaIAAT,0063600000B9YjwAAF,
0033600000OnPMvAAN,0063600000B9YxjAAF,
0033600000L87k3AAB,0063600000B9Z0YAAV,a1C36000001zSLoEAM
0033600000L87k3AAB,0063600000B9Z0YAAV,a1C36000008onVcEAI
0033600000L87k3AAB,0063600000B9Z0YAAV,a1C36000005YFdwEAG
